Result ID,Check,Cell,Priority,Flat Placement Count,Type,Fixed,Waived,Waived Comment,Waived By,Waived Date,Vertex Count,Coordinates
0,DENSITY_PRINT_FILES,,,,,,,,,,,
1,M1.DN.4,DigAna,0,1,P,0,0,,,,10,(-326.565 -755.19) (423.435 -755.19) (423.435 -505.19) (173.435 -505.19) (173.435 -255.19) (423.435 -255.19) (423.435 -5.19) (-76.565 -5.19) (-76.565 -255.19) (-326.565 -255.19) 
2,M2.DN.4,DigAna,0,1,P,0,0,,,,6,(-326.565 -755.19) (173.435 -755.19) (173.435 -255.19) (-76.565 -255.19) (-76.565 -505.19) (-326.565 -505.19) 
3,M2.DN.4,DigAna,0,1,P,0,0,,,,4,(173.435 -255.19) (423.435 -255.19) (423.435 -5.19) (173.435 -5.19) 
4,M3.DN.4,DigAna,0,1,P,0,0,,,,10,(-326.565 -755.19) (423.435 -755.19) (423.435 -505.19) (173.435 -505.19) (173.435 -255.19) (423.435 -255.19) (423.435 -5.19) (-76.565 -5.19) (-76.565 -255.19) (-326.565 -255.19) 
5,M4.DN.4,DigAna,0,1,P,0,0,,,,6,(-326.565 -755.19) (423.435 -755.19) (423.435 -505.19) (173.435 -505.19) (173.435 -255.19) (-326.565 -255.19) 
6,M5.DN.4,DigAna,0,1,P,0,0,,,,6,(-326.565 -755.19) (423.435 -755.19) (423.435 -505.19) (173.435 -505.19) (173.435 -255.19) (-326.565 -255.19) 
7,M6.DN.4,DigAna,0,1,P,0,0,,,,6,(-326.565 -755.19) (423.435 -755.19) (423.435 -505.19) (173.435 -505.19) (173.435 -255.19) (-326.565 -255.19) 
8,M7.DN.4,DigAna,0,1,P,0,0,,,,6,(-326.565 -755.19) (423.435 -755.19) (423.435 -505.19) (173.435 -505.19) (173.435 -255.19) (-326.565 -255.19) 
9,M8.DN.5L,DigAna,0,1,P,0,0,,,,14,(-226.565 -555.19) (-26.565 -555.19) (-26.565 -655.19) (373.435 -655.19) (373.435 -555.19) (473.435 -555.19) (473.435 -155.19) (373.435 -155.19) (373.435 -55.19) (-26.565 -55.19) (-26.565 -155.19) (-126.565 -155.19) (-126.565 -255.19) (-226.565 -255.19) 
10,ESD.22g,DigAna,0,1,P,0,0,,,,4,(-237.195 -562.705) (-236.29 -562.28) (-236.29 -561.55) (-237.195 -561.125) 
11,ESD.22g,DigAna,0,1,P,0,0,,,,4,(-237.195 -559.355) (-236.29 -558.93) (-236.29 -558.2) (-237.195 -557.775) 
12,ESD.22g,DigAna,0,1,P,0,0,,,,4,(-237.195 -556.005) (-236.29 -555.58) (-236.29 -554.85) (-237.195 -554.425) 
13,ESD.22g,DigAna,0,1,P,0,0,,,,4,(-237.195 -552.655) (-236.29 -552.23) (-236.29 -551.5) (-237.195 -551.075) 
14,ESD.22g,DigAna,0,1,P,0,0,,,,4,(-237.195 -549.305) (-236.29 -548.88) (-236.29 -548.15) (-237.195 -547.725) 
15,ESD.22g,DigAna,0,1,P,0,0,,,,4,(-237.195 -545.955) (-236.29 -545.53) (-236.29 -544.8) (-237.195 -544.375) 
16,ESD.22g,DigAna,0,1,P,0,0,,,,4,(-237.195 -542.605) (-236.29 -542.18) (-236.29 -541.45) (-237.195 -541.025) 
17,ESD.22g,DigAna,0,1,P,0,0,,,,4,(-237.195 -539.255) (-236.29 -538.83) (-236.29 -538.1) (-237.195 -537.675) 
18,ESD.22g,DigAna,0,1,P,0,0,,,,4,(-237.09 -562.88) (-220.8 -562.88) (-221.6 -562.28) (-236.29 -562.28) 
19,ESD.22g,DigAna,0,1,P,0,0,,,,4,(-221.6 -562.28) (-220.695 -562.705) (-220.695 -561.125) (-221.6 -561.55) 
20,ESD.22g,DigAna,0,1,P,0,0,,,,4,(-237.09 -560.95) (-236.29 -561.55) (-221.6 -561.55) (-220.8 -560.95) 
21,ESD.22g,DigAna,0,1,P,0,0,,,,4,(-237.09 -559.53) (-220.8 -559.53) (-221.6 -558.93) (-236.29 -558.93) 
22,ESD.22g,DigAna,0,1,P,0,0,,,,4,(-221.6 -558.93) (-220.695 -559.355) (-220.695 -557.775) (-221.6 -558.2) 
23,ESD.22g,DigAna,0,1,P,0,0,,,,4,(-237.09 -557.6) (-236.29 -558.2) (-221.6 -558.2) (-220.8 -557.6) 
24,ESD.22g,DigAna,0,1,P,0,0,,,,4,(-237.09 -556.18) (-220.8 -556.18) (-221.6 -555.58) (-236.29 -555.58) 
25,ESD.22g,DigAna,0,1,P,0,0,,,,4,(-221.6 -555.58) (-220.695 -556.005) (-220.695 -554.425) (-221.6 -554.85) 
26,ESD.22g,DigAna,0,1,P,0,0,,,,4,(-237.09 -554.25) (-236.29 -554.85) (-221.6 -554.85) (-220.8 -554.25) 
27,ESD.22g,DigAna,0,1,P,0,0,,,,4,(-237.09 -552.83) (-220.8 -552.83) (-221.6 -552.23) (-236.29 -552.23) 
28,ESD.22g,DigAna,0,1,P,0,0,,,,4,(-221.6 -552.23) (-220.695 -552.655) (-220.695 -551.075) (-221.6 -551.5) 
29,ESD.22g,DigAna,0,1,P,0,0,,,,4,(-237.09 -550.9) (-236.29 -551.5) (-221.6 -551.5) (-220.8 -550.9) 
30,ESD.22g,DigAna,0,1,P,0,0,,,,4,(-237.09 -549.48) (-220.8 -549.48) (-221.6 -548.88) (-236.29 -548.88) 
31,ESD.22g,DigAna,0,1,P,0,0,,,,4,(-221.6 -548.88) (-220.695 -549.305) (-220.695 -547.725) (-221.6 -548.15) 
32,ESD.22g,DigAna,0,1,P,0,0,,,,4,(-237.09 -547.55) (-236.29 -548.15) (-221.6 -548.15) (-220.8 -547.55) 
33,ESD.22g,DigAna,0,1,P,0,0,,,,4,(-237.09 -546.13) (-220.8 -546.13) (-221.6 -545.53) (-236.29 -545.53) 
34,ESD.22g,DigAna,0,1,P,0,0,,,,4,(-221.6 -545.53) (-220.695 -545.955) (-220.695 -544.375) (-221.6 -544.8) 
35,ESD.22g,DigAna,0,1,P,0,0,,,,4,(-237.09 -544.2) (-236.29 -544.8) (-221.6 -544.8) (-220.8 -544.2) 
36,ESD.22g,DigAna,0,1,P,0,0,,,,4,(-237.09 -542.78) (-220.8 -542.78) (-221.6 -542.18) (-236.29 -542.18) 
37,ESD.22g,DigAna,0,1,P,0,0,,,,4,(-221.6 -542.18) (-220.695 -542.605) (-220.695 -541.025) (-221.6 -541.45) 
38,ESD.22g,DigAna,0,1,P,0,0,,,,4,(-237.09 -540.85) (-236.29 -541.45) (-221.6 -541.45) (-220.8 -540.85) 
39,ESD.22g,DigAna,0,1,P,0,0,,,,4,(-237.09 -539.43) (-220.8 -539.43) (-221.6 -538.83) (-236.29 -538.83) 
40,ESD.22g,DigAna,0,1,P,0,0,,,,4,(-221.6 -538.83) (-220.695 -539.255) (-220.695 -537.675) (-221.6 -538.1) 
41,ESD.22g,DigAna,0,1,P,0,0,,,,4,(-237.09 -537.5) (-236.29 -538.1) (-221.6 -538.1) (-220.8 -537.5) 
42,ESD.22g,DigAna,0,1,P,0,0,,,,4,(-217.675 -562.705) (-216.77 -562.28) (-216.77 -561.55) (-217.675 -561.125) 
43,ESD.22g,DigAna,0,1,P,0,0,,,,4,(-217.675 -559.355) (-216.77 -558.93) (-216.77 -558.2) (-217.675 -557.775) 
44,ESD.22g,DigAna,0,1,P,0,0,,,,4,(-217.675 -556.005) (-216.77 -555.58) (-216.77 -554.85) (-217.675 -554.425) 
45,ESD.22g,DigAna,0,1,P,0,0,,,,4,(-217.675 -552.655) (-216.77 -552.23) (-216.77 -551.5) (-217.675 -551.075) 
46,ESD.22g,DigAna,0,1,P,0,0,,,,4,(-217.675 -549.305) (-216.77 -548.88) (-216.77 -548.15) (-217.675 -547.725) 
47,ESD.22g,DigAna,0,1,P,0,0,,,,4,(-217.675 -545.955) (-216.77 -545.53) (-216.77 -544.8) (-217.675 -544.375) 
48,ESD.22g,DigAna,0,1,P,0,0,,,,4,(-217.675 -542.605) (-216.77 -542.18) (-216.77 -541.45) (-217.675 -541.025) 
49,ESD.22g,DigAna,0,1,P,0,0,,,,4,(-217.675 -539.255) (-216.77 -538.83) (-216.77 -538.1) (-217.675 -537.675) 
50,ESD.22g,DigAna,0,1,P,0,0,,,,4,(-217.57 -562.88) (-201.28 -562.88) (-202.08 -562.28) (-216.77 -562.28) 
51,ESD.22g,DigAna,0,1,P,0,0,,,,4,(-202.08 -562.28) (-201.175 -562.705) (-201.175 -561.125) (-202.08 -561.55) 
52,ESD.22g,DigAna,0,1,P,0,0,,,,4,(-217.57 -560.95) (-216.77 -561.55) (-202.08 -561.55) (-201.28 -560.95) 
53,ESD.22g,DigAna,0,1,P,0,0,,,,4,(-217.57 -559.53) (-201.28 -559.53) (-202.08 -558.93) (-216.77 -558.93) 
54,ESD.22g,DigAna,0,1,P,0,0,,,,4,(-202.08 -558.93) (-201.175 -559.355) (-201.175 -557.775) (-202.08 -558.2) 
55,ESD.22g,DigAna,0,1,P,0,0,,,,4,(-217.57 -557.6) (-216.77 -558.2) (-202.08 -558.2) (-201.28 -557.6) 
56,ESD.22g,DigAna,0,1,P,0,0,,,,4,(-217.57 -556.18) (-201.28 -556.18) (-202.08 -555.58) (-216.77 -555.58) 
57,ESD.22g,DigAna,0,1,P,0,0,,,,4,(-202.08 -555.58) (-201.175 -556.005) (-201.175 -554.425) (-202.08 -554.85) 
58,ESD.22g,DigAna,0,1,P,0,0,,,,4,(-217.57 -554.25) (-216.77 -554.85) (-202.08 -554.85) (-201.28 -554.25) 
59,ESD.22g,DigAna,0,1,P,0,0,,,,4,(-217.57 -552.83) (-201.28 -552.83) (-202.08 -552.23) (-216.77 -552.23) 
60,ESD.22g,DigAna,0,1,P,0,0,,,,4,(-202.08 -552.23) (-201.175 -552.655) (-201.175 -551.075) (-202.08 -551.5) 
61,ESD.22g,DigAna,0,1,P,0,0,,,,4,(-217.57 -550.9) (-216.77 -551.5) (-202.08 -551.5) (-201.28 -550.9) 
62,ESD.22g,DigAna,0,1,P,0,0,,,,4,(-217.57 -549.48) (-201.28 -549.48) (-202.08 -548.88) (-216.77 -548.88) 
63,ESD.22g,DigAna,0,1,P,0,0,,,,4,(-202.08 -548.88) (-201.175 -549.305) (-201.175 -547.725) (-202.08 -548.15) 
64,ESD.22g,DigAna,0,1,P,0,0,,,,4,(-217.57 -547.55) (-216.77 -548.15) (-202.08 -548.15) (-201.28 -547.55) 
65,ESD.22g,DigAna,0,1,P,0,0,,,,4,(-217.57 -546.13) (-201.28 -546.13) (-202.08 -545.53) (-216.77 -545.53) 
66,ESD.22g,DigAna,0,1,P,0,0,,,,4,(-202.08 -545.53) (-201.175 -545.955) (-201.175 -544.375) (-202.08 -544.8) 
67,ESD.22g,DigAna,0,1,P,0,0,,,,4,(-217.57 -544.2) (-216.77 -544.8) (-202.08 -544.8) (-201.28 -544.2) 
68,ESD.22g,DigAna,0,1,P,0,0,,,,4,(-217.57 -542.78) (-201.28 -542.78) (-202.08 -542.18) (-216.77 -542.18) 
69,ESD.22g,DigAna,0,1,P,0,0,,,,4,(-202.08 -542.18) (-201.175 -542.605) (-201.175 -541.025) (-202.08 -541.45) 
70,ESD.22g,DigAna,0,1,P,0,0,,,,4,(-217.57 -540.85) (-216.77 -541.45) (-202.08 -541.45) (-201.28 -540.85) 
71,ESD.22g,DigAna,0,1,P,0,0,,,,4,(-217.57 -539.43) (-201.28 -539.43) (-202.08 -538.83) (-216.77 -538.83) 
72,ESD.22g,DigAna,0,1,P,0,0,,,,4,(-202.08 -538.83) (-201.175 -539.255) (-201.175 -537.675) (-202.08 -538.1) 
73,ESD.22g,DigAna,0,1,P,0,0,,,,4,(-217.57 -537.5) (-216.77 -538.1) (-202.08 -538.1) (-201.28 -537.5) 
